Sequence 1, is of length 4080, mapped to Original, on beginning location of: 11173
Sequence 4, is of length 6098, mapped to Original, on beginning location of: 4317273
Sequence 7, is of length 8031, mapped to Complement, on beginning location of: 264187
Sequence 10, is of length 4839, mapped to Complement, on beginning location of: 35433
Sequence 13, is of length 10824, mapped to Complement, on beginning location of: 18110
Sequence 16, is of length 4951, mapped to Original, on beginning location of: 2608
Sequence 19, is of length 8367, mapped to Complement, on beginning location of: 2588096
Sequence 22, is of length 2246, mapped to Complement, on beginning location of: 4411979
Sequence 25, is of length 3714, mapped to Complement, on beginning location of: 3001214
Sequence 28, is of length 4219, mapped to Complement, on beginning location of: 895528
Sequence 31, is of length 1762, mapped to Original, on beginning location of: 1993892
Sequence 34, is of length 7429, mapped to Original, on beginning location of: 27664
Sequence 37, is of length 6722, mapped to Original, on beginning location of: 1621
Sequence 40, is of length 13280, mapped to Original, on beginning location of: 3781738
Sequence 43, is of length 2189, mapped to Original, on beginning location of: 1592423
Sequence 46, is of length 2806, mapped to Complement, on beginning location of: 41134
Sequence 49, is of length 1998, mapped to Original, on beginning location of: 4116893
Sequence 52, is of length 1578, mapped to Complement, on beginning location of: 3533322
Sequence 55, is of length 7866, mapped to Original, on beginning location of: 23775
Sequence 58, is of length 8831, mapped to Original, on beginning location of: 34960
Sequence 61, is of length 2334, mapped to Complement, on beginning location of: 40987
Sequence 64, is of length 1471, mapped to Original, on beginning location of: 52326
Sequence 67, is of length 1132, mapped to Complement, on beginning location of: 39496
Sequence 70, is of length 1978, mapped to Original, on beginning location of: 2419852
Sequence 73, is of length 1589, mapped to Original, on beginning location of: 5083
Sequence 76, is of length 1512, mapped to Original, on beginning location of: 2806726
Sequence 79, is of length 3134, mapped to Complement, on beginning location of: 16911
Sequence 82, is of length 1457, mapped to Complement, on beginning location of: 4116893
Sequence 85, is of length 1665, mapped to Original, on beginning location of: 3017925
Sequence 88, is of length 6148, mapped to Complement, on beginning location of: 44215
Sequence 91, is of length 7584, mapped to Complement, on beginning location of: 46301
Sequence 94, is of length 2808, mapped to Original, on beginning location of: 4354917
Sequence 97, is of length 8356, mapped to Complement, on beginning location of: 39059
Sequence 100, is of length 3396, mapped to Original, on beginning location of: 1766661
Sequence 103, is of length 5993, mapped to Original, on beginning location of: 1154
Sequence 106, is of length 2263, mapped to Original, on beginning location of: 4357771
Sequence 109, is of length 2572, mapped to Complement, on beginning location of: 36013
Sequence 112, is of length 6211, mapped to Original, on beginning location of: 38715
Sequence 115, is of length 3045, mapped to Original, on beginning location of: 3168846
Sequence 118, is of length 5428, mapped to Complement, on beginning location of: 45514
Sequence 121, is of length 1575, mapped to Original, on beginning location of: 25790
Sequence 124, is of length 2359, mapped to Original, on beginning location of: 14458
Sequence 127, is of length 4950, mapped to Original, on beginning location of: 10551
Sequence 130, is of length 2389, mapped to Complement, on beginning location of: 2233
Sequence 133, is of length 5592, mapped to Complement, on beginning location of: 648472
Sequence 136, is of length 5917, mapped to Complement, on beginning location of: 2350103
Sequence 139, is of length 7289, mapped to Complement, on beginning location of: 3441841
Sequence 142, is of length 2315, mapped to Original, on beginning location of: 22580
Sequence 145, is of length 7259, mapped to Original, on beginning location of: 3825495
Sequence 148, is of length 1097, mapped to Complement, on beginning location of: 2146020
Sequence 151, is of length 7128, mapped to Complement, on beginning location of: 5697
Sequence 154, is of length 2449, mapped to Original, on beginning location of: 3533322
Sequence 157, is of length 3711, mapped to Complement, on beginning location of: 1518452
